股票代码,股票名称,当前价格,最高价,最低价,开盘价,成交量(万手),成交额(亿元)
600519,贵州茅台,1604.50,1618.93,1596.61,1598.00,2.4735,39.6779
000001,平安银行,11.16,11.22,11.13,11.16,89.5605,10.0048
300750,宁德时代,257.00,257.99,253.00,255.00,30.2315,77.3159
688981,中芯国际,86.32,86.32,84.16,85.90,36.8373,31.5357
601318,中国平安,52.60,52.75,52.00,52.23,57.7372,30.2823
